"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-06T21:41:20.743+01:00[Europe/London]","0.0","4.38"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-06T21:41:25.155+01:00[Europe/London]","0.0","0.08"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-06T21:41:25.231+01:00[Europe/London]","0.0","0.08"
"Categories CRUD test","Delete the product by ID","SUCCESS","2022-06-06T21:41:25.316+01:00[Europe/London]","0.0","0.39"
"Products CRUD test","This will create a New product","SUCCESS","2022-06-06T21:41:27.057+01:00[Europe/London]","0.0","0.1"
"Products CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-06T21:41:27.160+01:00[Europe/London]","0.0","0.03"
"Products CRUD test","Update the product information","SUCCESS","2022-06-06T21:41:27.193+01:00[Europe/London]","0.0","0.06"
"Products CRUD test","Delete the product by ID","SUCCESS","2022-06-06T21:41:27.255+01:00[Europe/London]","0.0","0.07"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-06T21:41:27.427+01:00[Europe/London]","0.0","0.06"
"Services CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-06T21:41:27.494+01:00[Europe/London]","0.0","0.05"
"Services CRUD test","Update the product information","SUCCESS","2022-06-06T21:41:27.544+01:00[Europe/London]","0.0","0.09"
"Services CRUD test","Delete the product by ID","SUCCESS","2022-06-06T21:41:27.632+01:00[Europe/London]","0.0","0.07"
"Stores CRUDS test","This will create a New Store","SUCCESS","2022-06-06T21:41:27.767+01:00[Europe/London]","0.0","0.08"
"Stores CRUDS test","Verify if the Product was added to the application","SUCCESS","2022-06-06T21:41:27.850+01:00[Europe/London]","0.0","0.05"
"Stores CRUDS test","Update the product information","SUCCESS","2022-06-06T21:41:27.896+01:00[Europe/London]","0.0","0.06"
"Stores CRUDS test","Delete the product by ID","SUCCESS","2022-06-06T21:41:27.954+01:00[Europe/London]","0.0","0.04"
"Utilities CRUD test","Get the version of Application","SUCCESS","2022-06-06T21:41:28.056+01:00[Europe/London]","0.0","0.03"
"Utilities CRUD test","Get the Health check of Application","SUCCESS","2022-06-06T21:41:28.086+01:00[Europe/London]","0.0","0.93"
